,Date,Regular nums,Supplementary nums
0,22.01.2021,"[38, 40, 41, 46, 48]","[2, 6]"
1,15.01.2021,"[19, 46, 10, 32, 36]","[6, 4]"
2,08.01.2021,"[22, 25, 50, 8, 38]","[9, 8]"
3,01.01.2021,"[36, 43, 17, 38, 46]","[6, 4]"
4,25.12.2020,"[7, 26, 42, 10, 19]","[9, 1]"
5,18.12.2020,"[4, 17, 28, 50, 27]","[5, 8]"
6,11.12.2020,"[49, 13, 15, 4, 41]","[9, 1]"
7,04.12.2020,"[40, 41, 27, 1, 37]","[7, 10]"
8,27.11.2020,"[25, 22, 2, 30, 1]","[10, 5]"
9,20.11.2020,"[50, 20, 34, 49, 18]","[7, 8]"
10,13.11.2020,"[38, 37, 5, 17, 21]","[4, 1]"
11,06.11.2020,"[12, 5, 50, 47, 26]","[3, 2]"
12,30.10.2020,"[39, 33, 19, 11, 24]","[1, 4]"
13,23.10.2020,"[23, 17, 21, 37, 45]","[9, 7]"
14,16.10.2020,"[11, 35, 50, 44, 5]","[4, 10]"
15,09.10.2020,"[23, 17, 29, 11, 1]","[8, 1]"
16,02.10.2020,"[39, 49, 15, 34, 19]","[7, 2]"
17,25.09.2020,"[1, 7, 9, 46, 29]","[9, 10]"
18,18.09.2020,"[40, 7, 14, 12, 42]","[7, 8]"
19,11.09.2020,"[5, 2, 45, 43, 24]","[10, 4]"
20,04.09.2020,"[5, 23, 49, 38, 28]","[3, 9]"
21,28.08.2020,"[22, 41, 8, 38, 11]","[4, 7]"
22,21.08.2020,"[26, 27, 49, 30, 46]","[2, 1]"
23,14.08.2020,"[35, 9, 48, 27, 20]","[9, 5]"
24,07.08.2020,"[28, 24, 15, 9, 4]","[2, 6]"
25,31.07.2020,"[3, 19, 43, 28, 49]","[3, 2]"
26,24.07.2020,"[7, 11, 43, 19, 32]","[2, 8]"
27,17.07.2020,"[13, 21, 25, 35, 34]","[5, 10]"
28,10.07.2020,"[5, 9, 6, 29, 15]","[4, 9]"
29,03.07.2020,"[12, 36, 48, 34, 47]","[7, 5]"
30,26.06.2020,"[47, 34, 14, 32, 16]","[7, 9]"
31,19.06.2020,"[38, 47, 33, 2, 22]","[9, 2]"
32,12.06.2020,"[7, 22, 30, 48, 16]","[8, 2]"
33,05.06.2020,"[29, 39, 9, 16, 17]","[1, 8]"
34,29.05.2020,"[22, 31, 36, 8, 32]","[6, 10]"
35,22.05.2020,"[15, 40, 32, 45, 12]","[7, 10]"
36,15.05.2020,"[34, 49, 29, 21, 27]","[8, 10]"
37,08.05.2020,"[11, 15, 36, 9, 43]","[9, 8]"
38,01.05.2020,"[21, 11, 41, 6, 12]","[2, 1]"
39,24.04.2020,"[35, 13, 34, 6, 15]","[5, 1]"
40,17.04.2020,"[33, 41, 1, 18, 23]","[6, 2]"
41,10.04.2020,"[43, 50, 2, 8, 7]","[3, 2]"
42,03.04.2020,"[3, 41, 26, 40, 21]","[8, 10]"
43,27.03.2020,"[41, 13, 34, 23, 19]","[3, 8]"
44,20.03.2020,"[30, 37, 28, 14, 9]","[10, 3]"
45,13.03.2020,"[17, 1, 39, 29, 42]","[7, 8]"
46,06.03.2020,"[35, 36, 41, 19, 15]","[5, 10]"
47,28.02.2020,"[38, 12, 22, 24, 29]","[5, 6]"
48,21.02.2020,"[47, 39, 45, 13, 2]","[4, 6]"
49,14.02.2020,"[30, 49, 2, 6, 32]","[4, 1]"
50,07.02.2020,"[44, 7, 22, 16, 36]","[3, 4]"
51,31.01.2020,"[39, 12, 1, 23, 7]","[4, 3]"
52,24.01.2020,"[5, 29, 48, 20, 12]","[7, 9]"
53,17.01.2020,"[49, 1, 45, 32, 23]","[10, 5]"
54,10.01.2020,"[4, 25, 49, 34, 14]","[9, 4]"
55,03.01.2020,"[35, 41, 6, 30, 27]","[5, 4]"
56,27.12.2019,"[28, 45, 7, 34, 12]","[6, 3]"
57,20.12.2019,"[22, 35, 12, 20, 21]","[4, 10]"
58,13.12.2019,"[25, 31, 49, 38, 50]","[5, 10]"
59,06.12.2019,"[8, 14, 30, 23, 45]","[1, 9]"
60,29.11.2019,"[31, 2, 30, 45, 3]","[8, 6]"
61,22.11.2019,"[3, 24, 12, 37, 38]","[3, 7]"
62,15.11.2019,"[24, 30, 39, 10, 19]","[4, 2]"
63,08.11.2019,"[49, 39, 14, 23, 20]","[10, 4]"
64,01.11.2019,"[17, 40, 31, 3, 34]","[2, 1]"
65,25.10.2019,"[34, 2, 30, 45, 35]","[1, 2]"
66,18.10.2019,"[44, 9, 6, 43, 31]","[6, 9]"
67,11.10.2019,"[44, 39, 8, 12, 13]","[4, 9]"
68,04.10.2019,"[15, 19, 20, 45, 49]","[8, 7]"
69,27.09.2019,"[34, 21, 24, 47, 26]","[6, 4]"
70,20.09.2019,"[21, 48, 17, 49, 41]","[8, 4]"
71,13.09.2019,"[22, 33, 21, 47, 3]","[9, 2]"
72,06.09.2019,"[29, 21, 24, 30, 50]","[1, 5]"
73,30.08.2019,"[35, 10, 46, 18, 32]","[10, 3]"
74,23.08.2019,"[19, 18, 15, 41, 42]","[6, 4]"
75,16.08.2019,"[20, 44, 42, 7, 35]","[7, 3]"
76,09.08.2019,"[4, 49, 20, 21, 2]","[9, 10]"
77,02.08.2019,"[6, 41, 38, 44, 11]","[9, 10]"
78,26.07.2019,"[46, 8, 30, 3, 48]","[1, 3]"
79,19.07.2019,"[47, 32, 45, 49, 31]","[9, 7]"
80,12.07.2019,"[36, 31, 40, 45, 42]","[7, 9]"
81,05.07.2019,"[50, 1, 48, 15, 34]","[10, 6]"
82,28.06.2019,"[38, 18, 26, 25, 35]","[6, 5]"
83,21.06.2019,"[45, 41, 20, 37, 27]","[1, 7]"
84,14.06.2019,"[42, 40, 41, 8, 23]","[10, 2]"
85,07.06.2019,"[8, 20, 7, 38, 35]","[9, 5]"
86,31.05.2019,"[10, 35, 12, 36, 43]","[5, 2]"
87,24.05.2019,"[50, 47, 38, 26, 8]","[3, 7]"
88,17.05.2019,"[27, 33, 20, 46, 35]","[9, 5]"
89,10.05.2019,"[29, 15, 7, 19, 5]","[8, 3]"
90,03.05.2019,"[19, 3, 42, 10, 9]","[1, 7]"
91,26.04.2019,"[1, 11, 17, 38, 6]","[8, 4]"
92,19.04.2019,"[43, 47, 18, 37, 21]","[3, 1]"
93,12.04.2019,"[16, 30, 14, 21, 37]","[8, 4]"
94,05.04.2019,"[31, 22, 50, 43, 44]","[9, 1]"
95,29.03.2019,"[42, 15, 24, 9, 4]","[8, 9]"
96,22.03.2019,"[24, 20, 49, 44, 15]","[9, 7]"
97,15.03.2019,"[19, 2, 11, 1, 47]","[7, 2]"
98,08.03.2019,"[29, 45, 4, 30, 31]","[7, 1]"
99,01.03.2019,"[24, 7, 19, 18, 16]","[1, 6]"
100,22.02.2019,"[26, 25, 14, 21, 16]","[10, 8]"
101,15.02.2019,"[30, 24, 31, 1, 47]","[7, 9]"
102,08.02.2019,"[26, 21, 24, 5, 8]","[5, 4]"
103,01.02.2019,"[6, 45, 47, 38, 29]","[2, 3]"
104,25.01.2019,"[24, 35, 28, 48, 25]","[8, 4]"
105,18.01.2019,"[2, 9, 36, 47, 23]","[9, 2]"
106,11.01.2019,"[49, 35, 6, 39, 12]","[9, 4]"
107,04.01.2019,"[25, 3, 32, 10, 43]","[3, 1]"
108,28.12.2018,"[38, 31, 24, 40, 19]","[10, 7]"
109,21.12.2018,"[20, 34, 49, 16, 3]","[10, 2]"
110,14.12.2018,"[30, 24, 26, 4, 14]","[10, 9]"
111,07.12.2018,"[16, 42, 31, 4, 21]","[6, 4]"
